File_name,Individual,Which_ear,Objective,Temperature,HatchingState,AgeGroup,Clutch,Age_days,Age_hours,Age_mins,Age_secs,Age,Img,RampDiff,R-R2,LampDiff,L-R2,AverageAmp,AverageR2,Stage,Hair_width,Sypse_width,Scan_date ,Slice_size ,Z_first,Z_last,Surface_type,N_images_in_sequence,Kaylee_Image_number_HC,Kaylee_N_hair_cells,Kaylee_Total_N_of_hair_cells,Kaylee_HC_to_HC_length_um,Kaylee_HC_to_HC_surface_area,Kaylee_HC_to_HC_surface_area_SubsDiffs,Kaylee_HC_surface_length_um,Kaylee_HC_surface_area,Kaylee_HC_notes,Avital_Image_number_HC,Avital_N_hair_cells,Avital_Total_N_of_hair_cells,Avital_HC_to_HC_length_um,Avital_HC_to_HC_surface_area,Avital_HC_to_HC_surface_area_SubsDiffs,HumanError,Avital_HC_surface_length_um,Avital_HC_surface_area,Avital_HC_notes,Kaylee_Image_number_SYN,Kaylee_N_synapses,Kaylee_Total_N_synapses,Kaylee_SYN_notes,Avital_Image_number_SYN,Avital_N_synapses,Avital_Total_N_synapses,Avital_SYN_notes,Julie_Image_number_SYN,Julie_N_synapses,Julie_Total_N_synapses,Julie_SYN_notes,Kaylee_Image_number_SICE,Kaylee_SiCE_N_synapses,Trial_2,Notes
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,2,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,0,NA,NA
Indiv4R_c292_60x(typo-c292),4,right,60,Hot,0,Younger,292,3,4,15,0,3.177083333,6316-6346,NA,NA,NA,NA,NA,NA,27,7.102327532,4.409062329,20170727,2,10,36,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,NA,NA
Indiv5L_c291_60x,5,left,60,Hot,1,Older,291,3,6,17,0,3.261805556,6350-6379,20.61848652,0.90632997,22.54161906,0.781327702,21.58005279,22.06083592,28,7.102327532,4.409062329,20170727,2,4,29,NA,32,4,5,76,60.258,5867.457143,5867.457143,61.464,7488.964286,None,4,6,66,33.812,3374.35625,3374.35625,2493.100893,62.052,6184.375,Scale was set according to Indiv4R_c292_60x(typo-c292),22,1,13,NA,9,1,17,NA,18,1,5,NA,1,0,NA,NA
Indiv5L_c291_60x,5,left,60,Hot,1,Older,291,3,6,17,0,3.261805556,6350-6379,NA,NA,NA,NA,NA,NA,28,7.102327532,4.409062329,20170727,2,4,29,NA,32,8,14,NA,122.79,NA,NA,151.819,NA,NA,8,9,NA,79.823,NA,NA,#VALUE!,102.194,NA,NA,24,3,NA,NA,11,0,NA,NA,20,0,NA,NA,3,0,NA,NA
